pair,layer,cosine
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,3,0.1572
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,4,0.1226
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,5,0.1726
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,6,0.1253
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,7,0.1562
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,8,0.1468
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,9,0.1809
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,10,0.1915
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,11,0.1243
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,12,0.1536
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,13,0.2299
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,14,0.3003
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,15,0.2198
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,16,0.2359
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,17,0.3143
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,18,0.2372
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,19,0.3296
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,20,0.1892
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,21,0.0970
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,22,0.1772
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,23,0.1110
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,24,0.1144
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,25,0.0434
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,26,0.0144
psr_all_layer_probe_mse vs psr_multi_gate_probe_nll,27,0.0499
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,0,-0.0263
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,1,0.0306
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,2,0.0393
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,3,0.0478
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,4,0.0363
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,5,0.0661
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,6,0.0254
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,7,0.0756
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,8,0.0394
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,9,-0.0074
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,10,0.0885
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,11,0.0799
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,12,0.0661
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,13,0.0754
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,14,0.0405
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,15,0.1167
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,16,0.0114
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,17,0.0333
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,18,0.1070
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,19,0.0217
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,20,0.1017
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,21,0.0278
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,22,0.0624
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,23,0.0372
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,24,0.0258
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,25,0.0711
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,26,0.0354
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_mse,27,0.0185
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,0,-0.0263
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,1,0.0306
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,2,0.0393
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,3,0.0478
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,4,0.0363
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,5,0.0661
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,6,0.0254
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,7,0.0756
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,8,0.0394
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,9,-0.0074
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,10,0.0885
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,11,0.0799
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,12,0.0661
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,13,0.0754
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,14,0.0405
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,15,0.1167
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,16,0.0114
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,17,0.0333
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,18,0.1070
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,19,0.0217
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,20,0.1017
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,21,0.0278
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,22,0.0624
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,23,0.0372
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,24,0.0258
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,25,0.0711
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,26,0.0354
psr_all_layer_probe_nll vs psr_multi_gate_conceptor_probe_nll,27,0.0185
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,0,-0.0081
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,1,0.0380
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,2,0.0328
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,3,0.0366
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,4,0.0191
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,5,0.0538
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,6,0.0245
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,7,0.0599
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,8,0.0359
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,9,-0.0025
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,10,0.0820
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,11,0.0778
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,12,0.0615
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,13,0.0751
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,14,0.0355
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,15,0.1113
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,16,0.0125
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,17,0.0336
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,18,0.1043
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,19,0.0215
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,20,0.1017
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,21,0.0265
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,22,0.0610
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,23,0.0367
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,24,0.0260
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,25,0.0710
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,26,0.0353
psr_all_layer_probe_nll vs psr_multi_gate_probe_mse,27,0.0181
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,0,-0.0081
psr_all_layer_probe_nll vs psr_multi_gate_probe_nll,1,0.0380
